srcStateName,srcYear,"Micro, Small, Medium Enterprises (MSME) Projects under Prime Minister Employment Generation Programme (PMEGP)",Fund released under Prime Minister Employment Generation Programme (PMEGP),Employment Generated under Prime Minister Employment Generation Programme (PMEGP),YearCode,Year
HARYANA,2019-20,2028,493203501,16224,2019,"Calendar Year (Jan - Dec), 2019"
HIMACHAL PRADESH,2019-20,1226,322897321,9808,2019,"Calendar Year (Jan - Dec), 2019"
JAMMU KASHMIR,2019-20,5044,1001743561,40352,2019,"Calendar Year (Jan - Dec), 2019"
JHARKHAND,2019-20,1544,374929055,12352,2019,"Calendar Year (Jan - Dec), 2019"
KARNATAKA,2019-20,3695,1067959187,29560,2019,"Calendar Year (Jan - Dec), 2019"
KERALA,2019-20,2438,532186373,19504,2019,"Calendar Year (Jan - Dec), 2019"
LADAKH,2019-20,309,112291313,2472,2019,"Calendar Year (Jan - Dec), 2019"
MADHYA PRADESH,2019-20,2175,806283695,17400,2019,"Calendar Year (Jan - Dec), 2019"
MAHARASHTRA,2019-20,4402,1121075470,35216,2019,"Calendar Year (Jan - Dec), 2019"
CHANDIGARH,2018-19,28,6389764,224,2018,"Calendar Year (Jan - Dec), 2018"
CHHATTISGARH,2018-19,3091,677973178,24728,2018,"Calendar Year (Jan - Dec), 2018"
DADRA NAGAR HAVELI,2018-19,29,5517957,232,2018,"Calendar Year (Jan - Dec), 2018"
DELHI,2018-19,131,15656195,1048,2018,"Calendar Year (Jan - Dec), 2018"
GOA,2018-19,78,23719998,624,2018,"Calendar Year (Jan - Dec), 2018"
GUJARAT,2018-19,3500,2544394349,28000,2018,"Calendar Year (Jan - Dec), 2018"
HARYANA,2018-19,2165,517729323,17320,2018,"Calendar Year (Jan - Dec), 2018"
HIMACHAL PRADESH,2018-19,1399,413530957,11192,2018,"Calendar Year (Jan - Dec), 2018"
JAMMU KASHMIR,2018-19,7067,1372952952,56536,2018,"Calendar Year (Jan - Dec), 2018"
JHARKHAND,2018-19,1797,453497528,14376,2018,"Calendar Year (Jan - Dec), 2018"
KARNATAKA,2018-19,3656,1072378870,29248,2018,"Calendar Year (Jan - Dec), 2018"
KERALA,2018-19,2484,537865931,19872,2018,"Calendar Year (Jan - Dec), 2018"
LADAKH,2018-19,462,149153769,3696,2018,"Calendar Year (Jan - Dec), 2018"
MADHYA PRADESH,2018-19,2524,999873301,20192,2018,"Calendar Year (Jan - Dec), 2018"
MAHARASHTRA,2018-19,5608,1520462818,44864,2018,"Calendar Year (Jan - Dec), 2018"
MANIPUR,2018-19,1291,204051932,10328,2018,"Calendar Year (Jan - Dec), 2018"
MEGHALAYA,2018-19,389,58402294,3112,2018,"Calendar Year (Jan - Dec), 2018"
